datetime,open,high,low,close,volume
2022-10-28 01:40:00,20264.67,20299.51,20263.28,20284.39,700.3197
2022-10-28 01:45:00,20284.39,20305.0,20281.94,20286.46,730.61924
2022-10-28 01:50:00,20285.86,20299.4,20276.78,20296.22,423.21571
2022-10-28 01:55:00,20296.22,20326.99,20294.82,20321.95,939.59548
2022-10-28 02:00:00,20322.92,20323.32,20307.09,20311.99,525.20373
2022-10-28 02:05:00,20311.06,20317.33,20295.38,20306.65,525.31182
2022-10-28 02:10:00,20306.65,20308.75,20206.64,20251.63,2122.60034
2022-10-28 02:15:00,20251.63,20270.84,20245.6,20263.59,947.73075
2022-10-28 02:20:00,20263.38,20274.0,20242.97,20262.75,651.62744
2022-10-28 02:25:00,20263.64,20287.12,20260.0,20280.39,589.16503
2022-10-28 02:30:00,20281.35,20281.35,20258.72,20262.48,635.23271
2022-10-28 02:35:00,20262.48,20266.79,20238.3,20252.96,698.4774
2022-10-28 02:40:00,20252.95,20275.0,20249.96,20258.71,571.37969
2022-10-28 02:45:00,20258.71,20273.14,20199.35,20225.1,1219.12268
2022-10-28 02:50:00,20225.1,20238.61,20188.97,20208.4,1543.44548
2022-10-28 02:55:00,20208.4,20242.08,20183.0,20223.47,1354.12707
2022-10-28 03:00:00,20223.47,20246.19,20207.2,20229.23,759.42862
2022-10-28 03:05:00,20229.23,20248.69,20214.04,20239.84,598.44197
2022-10-28 03:10:00,20239.84,20260.0,20234.2,20254.23,679.38746
2022-10-28 03:15:00,20254.23,20256.0,20230.65,20245.53,430.68229
2022-10-28 03:20:00,20245.53,20274.99,20245.14,20267.77,557.31831
2022-10-28 03:25:00,20267.77,20273.4,20246.83,20266.84,600.93585
2022-10-28 03:30:00,20266.84,20273.15,20258.74,20268.56,384.20734
2022-10-28 03:35:00,20268.56,20275.51,20256.41,20273.13,475.04574
2022-10-28 03:40:00,20273.15,20284.19,20262.0,20266.24,452.76028
2022-10-28 03:45:00,20267.55,20270.0,20255.23,20260.38,397.78143
2022-10-28 03:50:00,20260.38,20288.52,20254.92,20286.85,487.59766
2022-10-28 03:55:00,20286.85,20296.74,20277.42,20292.81,620.46344
2022-10-28 04:00:00,20292.77,20297.97,20282.39,20291.17,592.96444
2022-10-28 04:05:00,20291.18,20294.3,20281.47,20292.64,489.36278
2022-10-28 04:10:00,20292.64,20302.88,20285.83,20299.44,551.82567
2022-10-28 04:15:00,20299.45,20308.0,20291.61,20304.02,437.44077
2022-10-28 04:20:00,20304.02,20306.75,20280.17,20282.88,560.52149
2022-10-28 04:25:00,20282.18,20293.95,20277.63,20285.8,667.38833
2022-10-28 04:30:00,20286.13,20295.15,20275.29,20293.45,406.42132
2022-10-28 04:35:00,20292.25,20293.45,20277.09,20287.0,421.78419
2022-10-28 04:40:00,20287.0,20290.5,20280.27,20281.32,306.01324
2022-10-28 04:45:00,20281.32,20289.67,20253.0,20275.87,752.30894
2022-10-28 04:50:00,20275.37,20279.08,20265.07,20265.56,340.28114
2022-10-28 04:55:00,20266.08,20269.73,20244.15,20251.95,516.81682
2022-10-28 05:00:00,20251.95,20258.01,20244.52,20255.22,534.81775
2022-10-28 05:05:00,20255.22,20261.84,20221.59,20237.99,867.08802
2022-10-28 05:10:00,20237.98,20246.32,20220.0,20234.64,738.5226
2022-10-28 05:15:00,20233.71,20253.41,20218.78,20249.95,744.44342
2022-10-28 05:20:00,20250.49,20268.0,20247.79,20264.29,601.25724
2022-10-28 05:25:00,20264.29,20268.15,20247.68,20255.48,469.12453
2022-10-28 05:30:00,20256.23,20275.93,20245.72,20257.54,782.60771
2022-10-28 05:35:00,20257.54,20264.81,20236.0,20240.35,578.68391
2022-10-28 05:40:00,20240.35,20246.41,20232.47,20239.48,494.75795
2022-10-28 05:45:00,20239.48,20256.89,20236.83,20255.02,649.16084
2022-10-28 05:50:00,20255.02,20291.56,20248.98,20286.9,999.9599
2022-10-28 05:55:00,20286.9,20292.33,20278.66,20287.01,685.08357
2022-10-28 06:00:00,20287.01,20312.32,20286.81,20291.98,1134.33096
2022-10-28 06:05:00,20291.98,20291.98,20268.36,20275.85,503.46781
2022-10-28 06:10:00,20275.33,20280.98,20259.74,20266.53,629.3475
2022-10-28 06:15:00,20266.53,20280.6,20258.36,20275.96,527.92004
2022-10-28 06:20:00,20275.3,20283.97,20269.21,20271.16,359.63988
2022-10-28 06:25:00,20271.16,20284.48,20266.58,20282.75,462.19841
2022-10-28 06:30:00,20282.75,20287.92,20269.91,20282.82,561.2913
2022-10-28 06:35:00,20282.43,20292.53,20272.28,20275.73,539.87293
2022-10-28 06:40:00,20276.67,20290.12,20272.35,20283.62,455.07439
2022-10-28 06:45:00,20283.62,20298.14,20274.68,20280.74,686.57008
2022-10-28 06:50:00,20280.74,20285.74,20255.52,20271.72,794.05041
2022-10-28 06:55:00,20271.72,20280.0,20254.0,20259.74,647.69646
2022-10-28 07:00:00,20260.02,20269.98,20239.75,20254.44,1171.50056
2022-10-28 07:05:00,20254.44,20263.0,20247.67,20260.05,593.45473
2022-10-28 07:10:00,20261.03,20264.74,20242.64,20245.8,772.26863
2022-10-28 07:15:00,20244.94,20257.77,20215.0,20221.33,1099.81692
2022-10-28 07:20:00,20221.78,20222.86,20193.53,20216.46,1490.03523
2022-10-28 07:25:00,20217.04,20218.31,20190.0,20197.8,1182.85015
2022-10-28 07:30:00,20197.8,20202.32,20111.0,20185.35,2610.86547
2022-10-28 07:35:00,20185.35,20205.98,20150.01,20158.04,1579.16497
2022-10-28 07:40:00,20158.04,20170.0,20134.5,20152.2,1097.76548
2022-10-28 07:45:00,20153.29,20153.38,20088.0,20096.81,1840.48913
2022-10-28 07:50:00,20100.71,20131.52,20060.0,20074.38,2467.28111
2022-10-28 07:55:00,20073.58,20099.08,20061.27,20080.01,1715.95492
2022-10-28 08:00:00,20080.01,20123.08,20073.94,20091.83,1870.59827
2022-10-28 08:05:00,20092.62,20133.46,20060.1,20121.86,1445.55274
2022-10-28 08:10:00,20121.8,20141.27,20113.56,20131.42,1082.15668
2022-10-28 08:15:00,20131.42,20133.28,20098.93,20108.79,913.99469
2022-10-28 08:20:00,20109.73,20118.94,20026.0,20089.05,1972.47746
2022-10-28 08:25:00,20089.05,20112.21,20082.33,20107.46,980.53064
2022-10-28 08:30:00,20107.46,20142.0,20093.63,20133.91,1252.75323
2022-10-28 08:35:00,20134.13,20187.63,20122.49,20162.05,2347.01268
2022-10-28 08:40:00,20161.37,20200.0,20148.56,20186.91,1912.96138
2022-10-28 08:45:00,20186.91,20211.0,20177.93,20204.46,1498.75364
2022-10-28 08:50:00,20204.46,20205.11,20175.94,20201.92,992.98203
2022-10-28 08:55:00,20202.91,20206.03,20176.42,20182.85,1047.60287
2022-10-28 09:00:00,20183.15,20193.52,20177.66,20181.07,710.16781
2022-10-28 09:05:00,20180.46,20184.92,20171.43,20173.9,696.38113
2022-10-28 09:10:00,20173.9,20174.01,20152.96,20161.48,924.97485
2022-10-28 09:15:00,20161.48,20190.09,20154.65,20188.84,711.03692
2022-10-28 09:20:00,20189.42,20222.83,20187.85,20216.32,1107.38372
2022-10-28 09:25:00,20216.85,20233.33,20210.9,20217.33,1009.95575
2022-10-28 09:30:00,20216.36,20230.0,20209.34,20210.3,885.51389
2022-10-28 09:35:00,20209.52,20210.39,20187.28,20192.62,758.10755
